Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Casper Nirvana X650 Intel Core i5 13420H 16GB 500GB SSD Freedos 15.6"" Taşınabilir Bilgisayar X650.1342-BV00X-G-F",Casper,,Gri,2 kg ve Altı,Intel Core i5,13420H,13.Nesil,,"4,6 GHz",,DDR5,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,Full HD,,IPS,Yok (Free Dos),2025-12-03 00:35:56,21.399 TL,https://www.hepsiburada.com/casper-nirvana-x650-intel-core-i5-13420h-16gb-500gb-ssd-freedos-15-6-tasinabilir-bilgisayar-x650-1342-bv00x-g-f-p-HBCV00007MJN45
"Casper Excalibur G870 i7-13620H 32GB 1TB 8GB RTX5060 165Hz 15.6"" Freedos Taşınabilir Bilgisayar G870.1362-DF60X-C",Casper,,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"2,4 GHz",32 GB,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,1 TB,Yok,"15,6 inç",1920 x 1080,,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:35:58,59.699 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=NzVtODcrekpYdStkR1V0cmU2Rmd4UmNaOE43OEV1Rm5uUXc4ajJNRFlBeG5TbWprSWZib201ZTYyWldRVkROWURUN1IzQkRwdFN1QkdWUi80aWpST1lId01NeHBDMVlCdE80NTg4cHhYSWVzMVdyVmxwdzZSUDhuWVQ2bTNkYkNGWURMcmMxVi9jWjBIK084eGlIQ3FoVk1wd3p0YjRGblNOeUc2b25aaG1DWVF6bmJuVFNCOHdKSi96TFM4dDdzRTBYeWFtdFE2YWFhem9WbGFrbkw5WVUrYXk0cHQ0b2VGWFRlNlFhQmh2bkFCNlFZS2RRZHZ1aUpGRmU1YlNSek9pRElJQzFteVFNdTVCaktSSVRScWFlSC9HRTUxbXB0VHliQTc0bGVuS2lYait5MTBFRUUzR3lRbmVCZ0tGMEtGWjQwWG4wWGpQMStKNUtoV1U2QkUrSVVNZEYrRlZ6ZnNNY3dBblpjaWg4WHBzdWE4ZlA4QnlxZlpxS0ZRZVBVQkNmZysxM0J5YXJsQTJGYXQvKzh4MjUyRGM2c00zYTdYQStPUi9XUlZKSUswcVl5NzlhOEt5RmE1ODljRjBJRVNiWDdZU3oyRkZSL1RWYjk5RGZOOTdtOFBEbWZIRWJYSEFnZVg4UzFCZE9SbVc4Z1ZuNlZJb2tVVnRlczk3N1pKRTg2YVlSVHFFOXlvMHdXL1NMMnplbm1ub0FnTkdBMWgyRmpFYWF1L2wrbm9SbGNjeEhDWTE3Z0w0a3lQdw==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-i7-13620h-32gb-1tb-8gb-rtx5060-165hz-15-6-freedos-tasinabilir-bilgisayar-g870-1362-df60x-c-p-HBCV00008WF74Z%3Fmagaza%3DCasper+Excalibur&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"MSI CYBORG 15 A13VE-1478XTR Intel Core i5 13420H 16GB 1TB SSD RTX4050 Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",MSI,,Siyah,1 - 2 kg,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,1 TB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,TN,Yok (Free Dos),2025-12-03 00:36:00,"39.316,84 TL",https://www.hepsiburada.com/msi-cyborg-15-a13ve-1478xtr-intel-core-i5-13420h-16gb-1tb-ssd-rtx4050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00006Y8KXN
"HP Victus B82WJEA AMD R5 8645HS 16GB 512GB SSD RX6550M-4GB Freedos 15.6"" FHD 144Hz Taşınabilir Bilgisayar",HP,Oyun ve Eğlence,"Gümüş, Siyah",2 - 4 kg,AMD Ryzen 5,8645HS,5.Nesil,,"4,2 GHz",16 GB,LPDDR5,AMD Radeon RX6550M,Harici Ekran Kartı,4 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:02,30.282 TL,https://www.hepsiburada.com/hp-victus-b82wjea-amd-r5-8645hs-16gb-512gb-ssd-rx6550m-4gb-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00003L6NMO
"HP Victus Gaming 15-FA2704NT Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6"" Taşınabilir Bilgisayar B7TG9EA",HP,,Siyah,2 - 4 kg,Intel Core i5,Intel Core i5,14.Nesil,,"4,6 GHz",16 GB,DDR4,Nvidia GeForce RTX 3050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,512 GB,512 GB,"15,6 inç",1920 x 1080,,,IPS,Yok (Free Dos),2025-12-03 00:36:04,32.497 TL,https://www.hepsiburada.com/hp-victus-gaming-15-fa2704nt-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-b7tg9ea-pm-HBC00008KY9FX
"Lenovo Ideapad Slim 3 Intel Core I5-13420H 8gb 512GB SSD 16"" Wuxga IPS Fdos Taşınabilir Bilgisayar 83K2001RTR",Lenovo,Ofis ve İş,"Mavi, Gri",2 kg ve Altı,,Intel Core i5,13.Nesil,8,"4,6 GHz",8 GB,DDR5,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:06,19.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-intel-core-i5-13420h-8gb-512gb-ssd-16-wuxga-1920x1200-ips-panel-freedos-tasinabilir-bilgisayar-83k2001rtr-pm-HBC00008FFT9O
"Casper Excalibur G915 Intel Core i7 13620H 32GB 1TB SSD RTX5060 Freedos 16"" 165Hz Taşınabilir Bilgisayar G915.1362-DF60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:08,60.499 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=bEVPZnEyODJodzRzMmltcmZnMEJKT0QxdTJKNUMwNHNwNTlhOGdKQ0RkQmxlRUQweFVNbExyQlZCQzFiUGp0TnppODJiZ1hQTjZlL3FrMGZQaWtlYVlaNGxOalFnR1AzajAvZ0FzZW9ERmlGbFNIblc4NE9STmZMRjVxRXZhRU1vcC9QL2pxTHg4cjhKQ3lCbWZhcVVEbFRpTDNyZWFPc3pDZTlZa1pCY0hhVnZBT3EvL3lUTnNxSlFFWUJIUTEwNEhaM0x3Ynk1dkY2VDB3K2lOY29YMXJ2aHpBN0J3bUw3YyttYm1EMTNRZUhOc20xZ3JOTjVEQUp2N2xMdkx3aG1TeVBBMVM0ZXN4Z3B5dVp0VjZMd1dWcWtOTTd1a00yN01HbnhFWTEzUFBNWFNKa2wvd09BU1VndGFnMVoxUUxWMU4ySW85QjZJRk1PaG5za0VvRGZHRlZyazQwUTFFK25jeGJzaDFaYVgwYzA3YkhJeWs1ZkdkWEpWY3J4UlA1NFIzb2tuVWd0QVdZZHRxcTUvQS9YdW0zQ2Z4eUlXS2hmaUlSQVlBRVdla2hZd0g1TitWd0Z4bTFCQy9rWkZxTUtSZngrWGx2NGcvR1FSaDAxa290MGpWRThHcmpMVW1GNy96NHdwWXNaUFFRQkMzektTbDcyV3Nnem1LVHJJVjdzSTlSeXIreXpHNmVvZ1dqNUdITlVDK3RQTnIwVWZwTjFxY2NvcUVGRHVIcmtzNVhscUhkWGhZeXIyT0hXQQ==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g915-intel-core-i7-13620h-32gb-1tb-ssd-rtx5060-freedos-16-165hz-tasinabilir-bilgisayar-g915-1362-df60x-c-p-HBCV00009QZQBQ%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Casper Excalibur G915 i7-13620H 64GB 2TB 8GB RTX5070 165HZ 16"" Freedos Gaming Laptop G915.1362-EX70X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:11,84.699 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=VCsxbzlTT25iZ3dpYmlyNkZscGRjTWZvTTZoc0t0TWVOTWIwaW1nNFg4bCt1VlMyU2k3VGhkNmxRQnZIeEgxSjlPc0crY3pXNkg4bFJjK2FqdE9OTVlicm9EWm8xL0xBTlJMWlYwa3JYbUNOcnZzdktVNVVYVmtlbVMwaFRRZ2lwS2dVWWxGc3F5ZmEvaGp4NTJ0SlhsZXMrSFVwSldFOE8vUVVROGpNRXAzSVlxaTFZZ2dtQmpRUVUrTFBEemNxSm1iVThJZGhvUTNEUlFGM3QwUUdMRmUxclQvTHNibmVielB5ZHU5WjdsNUs5UnhVM0xOYXY4VVRrdUlFam15dHpCQVBmSy9oOUpROEEvbDYybmF1RXBFSkZiTDIyZWxONGFacXMyZXVzY2ZYRkJxcDh5Q2k4Z1ZjcnlROHBRWStUTm1SRVBwMWcxOTRZblBrdnE0ajUvbVlXeU94Mm9jb1NQdFNRNUdHMnR0ZWI1amlLd0xUb29OTGNQc0gyVlhkM0NNZENTQWdySzZza1REUncrcWE5YkpHak5iWVZRS1NlMFJEdlhBOUtFVENYK3Zucit0R2hmYkpjV29IK0R1cDNybGkvRUViN3YyV0NhRGV4OHdIMzBnSlQrdG1ZMkdWbUVyQ1dTWlBmcnpMNVhhbkJ6dE5OTlJ2RUZiT2NvamFMMGwwMmEwOWo2Sk40cWFoSTNaMGZKZzA3L0tzeU83NTdqdXMwTDU0SkJWNGdqcjFNVWkzTkNPYXR3dk43dw==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g915-i7-13620h-64gb-2tb-8gb-rtx5070-165hz-16-freedos-gaming-laptop-g915-1362-ex70x-c-p-HBCV00009QZPPM%3Fmagaza%3DCasper+Excalibur&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"HP Omen C2EZ2EA Amd Ryzen Aı 7 350 32GB 1tb SSD RTX5060-8GB Freedos 17.3"" Fhd 144Hz Taşınabilir Bilgisayar",HP,Oyun ve Eğlence,Siyah,2 - 4 kg,AMD Ryzen AI 7,350,AMD Ryzen AI 300 Series,8,5 GHz,,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR6,,Yok,"17,3 inç",1920 x 1080,Full HD,144 Hz,IPS,FreeDos,2025-12-03 00:36:13,69.499 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=RzU1bXMxTUtHWGQyQnNKZEZSQjFYOFRsY3RQajI5RVNhcnJ2M1RXYWtIdzhDajE2dHphd3BXRXNjYStNL0RRK3hCOFpQT1BPdzRuanIvakdNS2dWM1c1SWJ0cHQxdGN3N1M3M3k1UTd1Q1hPRC9kaEgvV0J5L04yeEExWEZRajdaNzd2K1BvM3BidGltQlJUTnhxek1zVmxoMnJ2M3hUWVBiOWc3U2FwdGFva0hrWU4yeXMwaWw1R1N1RmZiOGpORnh2NCtTckI4eHRRbmtBdUh4NGdVd1ZnSW1TSHBaZCtMcDdZVThYYVZSK3hHRzZ5b0ZjTXBPckdOaTQ1NVlEMjdrbDlzZTRvZTI2TnNpRG9yUlhmVU9UMkhtdWxRSTdWK3VqNDZvVUNxTGZuWlRoVGxEWFFNY2d5U1dveWg1c0swdlZpdUcxVFJmcjFTK0pvVUszY3RTZlR3OUwvWm02eC82SjV1YnlvcEtkMEdvWk51aTVhNnR5cmlSajhBVkIvOTFac1pZMkdGV0RpYU1xRlVOV3o3ampOdGlka0MxRXRET251QzBPbXY1SUg5UGphQTRwcTBTTldNb0R6RElBUENRRWVnU3JkcXlFKzFhYjNEVlBzWUFMZzkway94NjZ3U0s2cXBwYVRDSDlzQ0lYVU5paFBqUEx2eXpGaG12WlNHL1lMaU1FeEhVN3YxSVJya1NGaCtFa1pzYS9YaGJieitPVExDN2ZZV2xKQ0VQbUxXemwvVkUwZ3VRdUoydw==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-omen-c2ez2ea-amd-ryzen-ai-7-350-32gb-1tb-ssd-rtx5060-8gb-freedos-17-3-fhd-144hz-tasinabilir-bilgisayar-p-HBCV00009P4S3Z%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Lenovo Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 512GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 82XM00U4TX",Lenovo,,Gri,2 kg ve Altı,AMD Ryzen 7,5825U,Ryzen,,"4,5 GHz",16 GB,DDR4,Onboard,Dahili Ekran Kartı,Belirtilmemiş,Onboard,512 GB,Yok,"15,6 inç",1920 x 1080,,,TN,Yok (Free Dos),2025-12-03 00:36:15,28.130 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-3-amd-ryzen-7-5825u-16gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82xm00u4tx-pm-HBC00008O199X
"Monster Abra A5 V20.6.2 Intel Core I7 13620H 32 GB Ram 1 Tb SSD 4 GB Rtx 3050 Freedos 15,6"" Fhd 144 Hz Taşınabilir Bilgisayar",Monster,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,Intel Core i7,13.Nesil,,"4,6 GHz",,DDR4,Nvidia GeForce RTX 3050,Dahili Ekran Kartı,4 GB,GDDR6,,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:17,47.300 TL,https://www.hepsiburada.com/monster-abra-a5-v20-6-2-intel-core-i7-13620h-32-gb-ram-1-tb-ssd-4-gb-rtx-3050-freedos-15-6-fhd-144-hz-tasinabilir-bilgisayar-p-HBCV00008M5G2O
Lenovo Loq 17IRX10 Aı Intel Core I5-13450HX 24GB Ddr5 512GB SSD RTX5050 8gddr7 17.3 IPS 165Hz Fhd Freedos 83JH0069TR Dizüstü Bilgisayar (Yapay Zeka Destekli),Lenovo,Oyun ve Eğlence,Gri - Koyu Gri,2 - 4 kg,Intel Core i5,13450HX,13.Nesil,10,"4,6 GHz",,DDR5,Nvidia GeForce RTX 5050,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"17,3 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:19,"51.999,90 TL",https://www.hepsiburada.com/lenovo-loq-17irx10-ai-intel-core-i5-13450hx-24gb-ddr5-512gb-ssd-rtx5050-8gddr7-17-3-ips-165hz-fhd-freedos-83jh0069tr-dizustu-bilgisayar-yapay-zeka-destekli-pm-HBC0000APPX5G
"Casper Excalibur G870 Intel Core 5 210H 32GB 1TB RTX5060 Freedos 15.6"" Taşınabilir Bilgisayar G870.210H-DF60X-C",Casper,,Gri,2 - 4 kg,Intel Core 5,210H,Series 2,,"4,8 GHz",,DDR5,Nvidia GeForce RTX 5060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,,,IPS,Yok (Free Dos),2025-12-03 00:36:21,50.799 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=Y0RFQTZQY0twSFJzdEpEZ1ozb2NXRlR1NmlJeGs1VEpNOS94cDljMGdNSzNrMktHTWZ4aExsOUZJRmxHYTBDM1NMbFplUjFUTjhBNURkQTJFUlY1OGdxeFR4WDBhYzJEZ282SUNQeVVaWmdnSHlPV2VJME9RVGkvTnp1RmNPaUx2U1Y3MkNMSytoN1hWWHoyVk9xVVZDTXdhVXB3OHhQcnlvNFoxTXZkYk1DSmRtUlg5eUZmK1pZUHUwZjVMOFZMSHBMZmFuc2NJVzVYL29hU21kS2dCbk0vb2pBQVZLakZWOEF6Uit6ajViNHAxZ0hLVFZnellUTHZmSTcwZ0VxelM0aWRzK25WZnBTTVB1WWpGNStJUkQyVnk3N3N5Q1RJaDM2dytMeDZDTElRTlc5S2QvaWNaQzBnRzJTdnEwcy9GaGVMaXFZTEFlS2t0SSs1OXZDUzBWMUxaSEU1NTY4dHRHM0JmNVVzVVBHUnMxZWwwY0xTTGV4Q0tPZXpHM0VUMnEwOWJqN3hHUnVqbW9VbG9leVc0VDRucmFTdDRTdmNRSzRNUm0xZWFlWlI1VklWb2IzTHpxTDY1QnpyTytlYVE4cEZiYlZsREJaVms2RFNiVmtobW1pWlEwckVNQ2xvT1FBNmg1MngxZFZEVXdFdGhaQ01zWTRoa3d0MGJCbDZWN01ZN3dERE90UE9nMnJXdk1BNDRFYzdHQVdDd3VYN1FIYnhuQVJZ&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-intel-core-5-210h-32gb-1tb-rtx5060-freedos-15-6-tasinabilir-bilgisayar-g870-210h-df60x-c-p-HBCV000095GHIS%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Casper Excalibur G870 Intel Core i7 13620H 24GB 1TB SSD RTX5060 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-CF60X-C",Casper,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"4,9 GHz",,DDR5,Nvidia GeForce RTX 5060,Harici Ekran Kartı,8 GB,GDDR7,,Yok,"15,6 inç",1920 x 1080,Full HD,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:25,51.999 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=VlpSSGs2S0Rub0tiUmJSeTdSYkNmb1E5NlIwVEF2aktoRFNPT3NwYUlKdlZmZ2s1ajJ1TDAwdi9FRkZmdytqckx4QTVlSTRMclRZRVlmVHBvTEdpaUNGSFBmcE9ZUkFLUEcvZ1MzWGNhUDVRVkxVM3dnLzBnQUd0ZnNNNkljUlFVR0Q0dWhJZnBUeVVnV2lWa3ZhMWZRZm94RC9vMWo0d1JteHg5bmRvRG5QNjQ4YlA5VWNkZyszRUVqOHFQR0ZZc01vU3VQdmIvOTAzRE9MeWFsS1hrOVBWMXN3Ym1US0g5bHlyd2wvQlg1VHd5dStNc2ZDRGszVjgrdnpEb0JzdlV1aUw1V2VkbEdsWkN2RUFPbCtqcmRLYzZ1c1FFUWlKaWlzNHQrdEUyY0JSU24waU16WWkrZUV5VXNsWWloSmlLeUcvclZrZFNMUnpkTDEwMHZ0TE5rYXdETFJoZ1pyLzRRVmkyaHN1M01Sc3dDeUtPY2hNRmRpemJqQmpyZENScnVrZ28rYUxkMG51elVReFl0Y2tOczc2NEZPZWVtUml5aDMxUGpsVkRPZ3ovall6MlJyQ3AxTGJiKzdiaVE3eitMN1VjaXV5OGhZeG1yb25WUE51OWpycVp6cUptYng5TlVDamJzQTd1WmhYVHpWbDRhYmtuREczZWNtcUVOa0Z0TlEvOEtOS2tBMGZYNWJzYk1nOHJ5NVZJejRLbHBCL1VwcHFDVEkv&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-intel-core-i7-13620h-24gb-1tb-ssd-rtx5060-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-cf60x-c-p-HBCV0000A9HHKX%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Game Garaj Slayer X5T-5050 C7 Intel Core I5 13500HX 16GB Ram 1tb SSD RTX5050 16"" Wuxga 165Hz IPS Freedos Oyuncu Laptop",Game Garaj,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i5,13500HX,13.Nesil,14,"4,7 GHz",,DDR5,Nvidia GeForce RTX 5050,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,1920 x 1200,WUXGA,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:28,45.999 TL,https://www.hepsiburada.com/game-garaj-slayer-x5t-5050-c7-intel-core-i5-13500hx-16gb-ram-1tb-ssd-rtx5050-16-wuxga-165hz-ips-freedos-oyuncu-laptop-pm-HBC0000APUILV
"HP Victus 16-R1021NT Intel Core I7-14700HX 32GB 1tb SSD 8gb RTX4070 Freedos 144Hz 16.1"" Fhd Taşınabilir Bilgisayar 9J223EA",HP,Oyun ve Eğlence,Mavi,2 - 4 kg,Intel Core i7,14700HX,14.Nesil,,"5,5 Ghz",32 GB,DDR5,Nvidia GeForce RTX 4070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR6,1 TB,Yok,"16,1 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:30,64.999 TL,https://www.hepsiburada.com/hp-victus-16-r1021nt-intel-core-i7-14700hx-32gb-1tb-ssd-8gb-rtx4070-freedos-144hz-16-1-fhd-tasinabilir-bilgisayar-9j223ea-pm-HBC00005S0G2X
"MSI CROSSHAIR 17 HX AI D2XWGKG-018XTR Intel Core Ultra 7 255HX 32GB 1TB SSD RTX5070 Freedos 17"" QHD+ 240Hz Taşınabilir Bilgisayar",MSI,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,Intel Core Ultra 7,255HX,Intel Core Ultra Serisi,,"5,2 GHz",32 GB,DDR5,Nvidia GeForce RTX 5070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,1 TB,Yok,17 inç,2560 x 1600,QHD+,240 Hz,QHD+,Yok (Free Dos),2025-12-03 00:36:32,"100.030,44 TL",https://www.hepsiburada.com/msi-crosshair-17-hx-ai-d2xwgkg-018xtr-intel-core-ultra-7-255hx-32gb-1tb-ssd-rtx5070-freedos-17-qhd-240hz-tasinabilir-bilgisayar-pm-HBC00008RAEIL
"Acer Aspire Go 15 I5-1334U 16 GB 512 GB SSD 15,3"" (1920 x 1200 ) IPS W11HOME NX.J50EY.002",Acer,Ev Kullanıcıları - Öğrenci,"Gümüş - Gri, Gri",2 kg ve Altı,Intel Core i5,1334U,13.Nesil,Yok,"1,3 GHz",,DDR5,Intel UHD Graphics,Paylaşımlı,Belirtilmemiş,DDR5,,Yok,"15,3 inç",1920 x 1080,WUXGA,60 Hz,IPS,Windows 11 Home Single Language,2025-12-03 00:36:34,"20.635,75 TL",https://www.hepsiburada.com/acer-aspire-go-15-i5-1334u-16-gb-512-gb-ssd-15-3-1920-x-1200-ips-w11home-nx-j50ey-002-p-HBCV00009VZGL0
"Casper Excalibur G870 Intel Core i7 13620H 32GB 1TB SSD RTX5070 Freedos 15.6"" 165Hz Taşınabilir Bilgisayar G870.1362-DF70X-C",Casper,,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,,"2,4 GHz",32 GB,DDR5,Nvidia GeForce RTX 5070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,1 TB,Yok,"15,6 inç",1920 x 1080,,165 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:37,64.899 TL,https://adservice.hepsiburada.com/event/api/v1/track?event=eW91MExDSnJUSTdKb2N5QVoxYjJhWWZiZUZaK3grQnRWRTkrNWt0cm8wTjM1UXNkdlk1UDdrWW12NW44VmRRRHgwZDY0ckhJZ1IvdDByd2hyTHNNU3RnVzE0WXpXT3ZzRG90bFhFdmsweHZmaGNyTUJXamVtOFdvUFhMb1NyQ0srb09JTkc1aWVrTHRBN3pZbGdpZ3B4MVNFOE9LNzB6TE44N0MraUkwTUEvUVgvems5RXZWa3h3NUhYT21MNld5WTR2TDFPaEx2bitGTnpodUtrNkgwaWR2SCs5ajFlV2kxcG00cjhLb3N2bHZ2ZGNMbk5Va05acmZNNkxSSS9rMkllNUwrKzN0dlJkdEhOVC94RUdxVy9ISCtwS0pWem1iQkNOVll5MHN1T0V2V0IrcW5ZSUFEcjUzdjdFcnI5NW9VM2xDUUI5VmJoTnN2NlYwNFdpclVTeFN4M0dyL05wV2UzY1E1MFJQYkxBSUpKTDJDU2FFS3pJOXN6dkJDMCtYbWJ6dk9OWEhjOTh6b3FWZS9jVkFkTXo1YXFobU9tUVNaVzVlTllmRXJFV1grV3h5VWcwNUV4QTdZblJua2ZsMUFGaTJQRm1WWWplRFlNaWduUlVUa09SdC9nM0VVS2xQU0Q2NnQvRGRRRUZYaW1uZkVYVGFBRkN1bk9MMWRoVnpFN0ZFcUNJQjBFa0VhbGpob2FubXFuREJDeTRNL3REemlxZVcyM2tiZ0kxMmRHNkFtbTFIdGVKcWRMbGhOdw==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fcasper-excalibur-g870-intel-core-i7-13620h-32gb-1tb-ssd-rtx5070-freedos-15-6-165hz-tasinabilir-bilgisayar-g870-1362-df70x-c-p-HBCV00008WF75J%3Fmagaza%3DHepsiburada&eventName=sp-click&platform=desktop&anonymousId=ba22e137-10b9-4d91-acf8-2f19be972958
"Game Garaj Slayer R9T-5070TI C1 Amd Ryzen 9 9955HX 32GB Ram 1tb SSD RTX5070TI 16"" Qhd IPS 300Hz Freedos Gaming Laptop",Game Garaj,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,AMD Ryzen 9,9955HX,Ryzen,,"5,4 GHz",,DDR5,Nvidia GeForce RTX 5070Ti,Yüksek Seviye Harici Ekran Kartı,12 GB,GDDR7,,Yok,16 inç,2560 x 1600,QHD+,300 Hz,IPS,Yok (Free Dos),2025-12-03 00:36:39,91.999 TL,https://www.hepsiburada.com/game-garaj-slayer-r9t-5070ti-c1-amd-ryzen-9-9955hx-32gb-ram-1tb-ssd-rtx5070ti-16-qhd-ips-300hz-freedos-gaming-laptop-p-HBCV00008OZ2LU
"HP 250 G10 Intel Core i5 1334U 16GB 512GB SSD Freedos 15.6"" Taşınabilir Bilgisayar B2NC5ES",HP,,Siyah,2 - 4 kg,Intel Core i5,1334U,13.Nesil,,"3,8 GHz",,DDR4,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,512 GB,"15,6 inç",1920 x 1080,,,LCD,Yok (Free Dos),2025-12-03 00:36:41,"21.776,95 TL",https://www.hepsiburada.com/hp-250-g10-intel-core-i5-1334u-16gb-512gb-ssd-freedos-15-6-tasinabilir-bilgisayar-b2nc5es-pm-HBC00007MQXDD
